Fakultas,Prodi,Seberapa mudah Anda mengakses SIAMIK saat war KRS berlangsung?,Berapa lama rata-rata waktu login yang Anda alami saat war KRS? (.....menit),Seberapa sering Anda mengalami gagal masuk atau error saat login di SIAMIK?,Apakah Anda pernah kehilangan mata kuliah karena slot penuh akibat lambatnya SIAMIK? ,Masalah utama yang paling sering Anda alami saat war KRS?,Berapa lama waktu yang Anda perlukan untuk menunggu ACC dari sistem/webnya? (....menit/jam),Apakah SIAMIK sudah memberikan notifikasi/status ACC KRS dengan jelas?,Seberapa puas Anda secara keseluruhan terhadap SIAMIK dalam proses War KRS dan ACC?,"Jika diberikan kesempatan memilih, aspek apa yang paling prioritas untuk diperbaiki pada SIAMIK?","Berdasarkan pengalaman terakhir anda, Bagaimana penilaian anda terhadap kualitas SIAMIK saat war KRS dan ACC?"
Fakultas Ilmu Komputer,Sains Data,1,15,2,Ya,Slot mata kuliah cepat penuh,30,Kurang jelas,1,Kecepatan server saat war KRS,2
Fakultas Ilmu Komputer,Sains Data,2,10,4,Ya,Slot mata kuliah cepat penuh,20,Tidak jelas sama sekali,2,Notifikasi otomatis ACC mata kuliah,1
Fakultas Ilmu Komputer,Sains Data,1,1,2,Ya,Slot mata kuliah cepat penuh,15,Cukup jelas,1,Proses ACC system/web,1
Fakultas Ilmu Komputer,Sains Data,4,1,3,Ya,"Error system (data tidak tersimpan, crash, dll)",30,Kurang jelas,2,Proses ACC system/web,2
Fakultas Ilmu Komputer,Sains Data,4,3,2,Tidak,Slot mata kuliah cepat penuh,5,"Ya, sangat jelas",3,Notifikasi otomatis ACC mata kuliah,4
Fakultas Ilmu Komputer,Sains Data,4,30,2,Ya,"Error system (data tidak tersimpan, crash, dll)",180,Cukup jelas,2,Proses ACC system/web,2
Fakultas Ilmu Komputer,Sains Data,1,30,4,Ya,Slot mata kuliah cepat penuh,60,Tidak jelas sama sekali,1,Proses ACC system/web,1
Fakultas Ilmu Komputer,Sains Data,4,1,1,Ya,Slot mata kuliah cepat penuh,240,Cukup jelas,3,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,1,5,4,Ya,Sulit login/server down,180,Kurang jelas,3,Proses ACC system/web,1
Fakultas Ilmu Komputer,Sains Data,2,80,5,Tidak,Sulit login/server down,70,Kurang jelas,1,Kecepatan server saat war KRS,2
Fakultas Ilmu Komputer,Sains Data,4,60,3,Tidak,Slot mata kuliah cepat penuh,60,Cukup jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,3,2,3,Ya,Slot mata kuliah cepat penuh,60,Cukup jelas,2,Kecepatan server saat war KRS,1
Fakultas Ilmu Komputer,Sains Data,4,1,2,Tidak,Sulit login/server down,180,Cukup jelas,2,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,5,1,1,Tidak,Slot mata kuliah cepat penuh,60,Cukup jelas,3,Proses ACC system/web,4
Fakultas Ilmu Komputer,Sains Data,4,2,2,Tidak,Slot mata kuliah cepat penuh,2,Cukup jelas,4,Kecepatan server saat war KRS,4
Fakultas Ilmu Komputer,Sains Data,2,10,4,Ya,"Error system (data tidak tersimpan, crash, dll)",30,Kurang jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,5,1,3,Ya,"Error system (data tidak tersimpan, crash, dll)",180,Kurang jelas,3,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,1,5,3,Ya,Slot mata kuliah cepat penuh,180,Kurang jelas,2,Kecepatan server saat war KRS,1
Fakultas Ilmu Komputer,Sains Data,5,1,1,Ya,Slot mata kuliah cepat penuh,90,Cukup jelas,2,Kecepatan server saat war KRS,2
Fakultas Ilmu Komputer,Sains Data,5,10,2,Tidak,Slot mata kuliah cepat penuh,20,Cukup jelas,4,Proses ACC system/web,3
Fakultas Ilmu Komputer,Informatika,3,1,4,Tidak,Slot mata kuliah cepat penuh,5,Kurang jelas,3,Notifikasi otomatis ACC mata kuliah,3
